canon_structure,canon_cell_name,jeff_cell_name,umich_sc_cell_name,ucsf_sc_cell_name,ucsd_sn_cell_name,guess
Endothelial,Endothelial ascending vasa recta,EC-AVR -Endothelial Ascending vasa recta,EC-AVR,,EC_AVR_ADGRL4,
Endothelial,Endothelial descending vasa recta,EC-AEA-DVR -Endothelial descending vasa recta,EC-DVR,,EC_AEA_DVR_A2M,
Endothelial,Glomerular endothelial,EC-GLO - Glomerular Endothelial,EC-GLO,,EC_GC_EMCN,
Endothelial,Glomerular endothelial,EC-GLO - Glomerular Endothelial,,,EC_MMRN1,ucsd_sn_cell_name
Endothelial,Glomerular endothelial,EC-GLO - Glomerular Endothelial,,1 - endothelial  ,,ucsf_sc_cell_name
Endothelial,Glomerular endothelial,EC-GLO - Glomerular Endothelial,,4 - endothelial,,ucsf_sc_cell_name
Endothelial,Glomerular endothelial,EC-GLO - Glomerular Endothelial,,16 - endothelial,,ucsf_sc_cell_name
Endothelial,Glomerular endothelial,EC-GLO - Glomerular Endothelial,,0 - endothelial & immune,,ucsf_sc_cell_name
Glomerular,Mesangial cell,MC - Mesangial,Mesangial/VSMC,17 - Mesangial,MC_EBF1,
Glomerular,Mesangial cell,MC - Mesangial,,11 - Mesangial,,ucsf_sc_cell_name
Glomerular,Podocyte,POD - Podocyte,Podocyte,2 - podocytes,POD_PTPRO,
Immune,Macrophage,MAC - Macrophage,Macrophage,,IMM_Mac_CD163,
Immune,Monocyte,MON - Monocyte,Monocyte,,,
Immune,T cells,T cells,T cells,10 - T cells,,
Immune,T cells,T cells,,3 - immune,,ucsf_sc_cell_name
Immune,T cells,T cells,,0 - endothelial & immune,,ucsf_sc_cell_name
Interstitial,N/A,INT _- Interstitial,Interstitial,,INT_C7,
Other vascular,Vascular smooth muscle cells / pericytes,vSMC/P- vascular smooth muscle cells / pericytes,Mesangial/VSMC,,vSMC/P_MYH11,
Tubular,Connecting tubule,CNT - Connecting,CNT/DCT,,CNT_LINC01099,
Tubular,Descending loop of Henle,DL - Descending LOH,dLOH,7 - LOH - DL,DL_CPE,
Tubular,Distal tubule,DCT - Distal,CNT/DCT,,DCT_SLC12A3,
Tubular,Intercalated cells,IC - Intercalated,Intercalated,,ICA_CLNK,
Tubular,Intercalated cells,IC - Intercalated,,,ICA_CALCA,ucsd_sn_cell_name
Tubular,Intercalated cells,IC - Intercalated,,,ICB_SLC26A4,ucsd_sn_cell_name
Tubular,Principal cells,PC - Principal cells,Principal cells,,PC_FOSB,
Tubular,Principal cells,PC - Principal cells,,,PC_PWRN1,ucsd_sn_cell_name
Tubular,Principal cells,PC - Principal cells,,,PC_AQP3,ucsd_sn_cell_name
Tubular,Proximal tubule,PT - Proximal,Proximal,12 - PT,PT_S3_PDZK1IP1,
Tubular,Proximal tubule,PT - Proximal,,13 - PT,PT_S1_IL36B,ucsf_sc_cell_name
Tubular,Proximal tubule,PT - Proximal,,,PT_S1_SLC5A12,ucsd_sn_cell_name
Tubular,Proximal tubule,PT - Proximal,,,PT_S2_ACSM3,ucsd_sn_cell_name
Tubular,Proximal tubule,PT - Proximal,,,PT_S3_MT1G,ucsd_sn_cell_name
Tubular,Thick ascending loop of Henle,TAL = thick aLOH,TAL,,TAL_CASR,
Tubular,Thick ascending loop of Henle,TAL = thick aLOH,,,TAL_KNG1,ucsd_sn_cell_name
Tubular,Thin ascending loop of Henle,ATL - thin aLOH,ATL,,ATL_AKR1B1,
Tubular,Thin ascending loop of Henle,ATL - thin aLOH,,,ATL_CLDN10-AS1,ucsd_sn_cell_name
Tubular,Thin ascending loop of Henle,ATL - thin aLOH,,,ATL_SERPINA1,ucsd_sn_cell_name
N/A,N/A,N/A,Natural killer cells,,,no_structure
N/A,N/A,N/A,aLOH,,,no_structure
N/A,N/A,N/A,,9 - B cells,,no_structure
N/A,N/A,N/A,,14 - B cells,,no_structure
N/A,N/A,N/A,,19 - MT,,no_structure
N/A,N/A,N/A,,18 - RBCs,,no_structure
N/A,N/A,N/A,,15 - CD - PC,,no_structure
N/A,N/A,N/A,,5 - ? - glomerular (VCAM1) & tubular (GATM) ?,,no_structure
N/A,N/A,N/A,,6 - LOH - AL,,no_structure
N/A,N/A,N/A,,8 - CD - IC,,no_structure
N/A,N/A,N/A,,,PT_S2_LINC01435,no_structure
N/A,N/A,N/A,,,EPC_SPATA22,no_structure